Altium Designer Pick and Place Locations
C:\ELSYS\repos\uz_mz_adapter\Breakout\Project Outputs for uz_mz_adapter\Rev01\Pick Place\Pick_and_Place_uz_mz_adapter_Variant_V1_Rev01.csv

========================================================================================================================
File Design Information:

Date:       29.07.26
Time:       14:57
Revision:   e4220f3caed8d78111b4add4d092bd7001f6a722
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C5","C_0603","37.8000","37.8000","69.7000","69.7000","37.8000","69.0000","90","1 µF","BottomLayer"
"C6","C_0603_TE","37.8000","37.8000","76.2000","76.2000","38.5700","76.2000","90","10 u","BottomLayer"
"C1","C_1206_TE","128.9500","128.9500","82.8000","82.8000","127.5000","82.8000","90","100 pF","TopLayer"
"Z1","ERM8-060-02.0-L-DV","55.0000","55.0000","91.0000","91.0000","31.4000","89.1000","0","ERM8-060-02.0-L-DV-TR","BottomLayer"
"Z3","ERM8-075-02.0-L-DV","58.0000","58.0000","-1.0000","-1.0000","28.4000","-2.9000","0","ERM8-075-02.0-L-DV-TR","BottomLayer"
"Z2","ERM8-075-02.0-L-DV","131.0000","131.0000","38.0000","38.0000","129.1000","67.6000","270","ERM8-075-02.0-L-DV-TR","BottomLayer"
"X4-1","IPL1-115-01-YYY-D-K","25.0700","25.0700","72.7600","72.7600","23.8000","54.9800","90","IPL1-115-01-L-D-K","TopLayer"
"X3-1","IPL1-115-01-YYY-D-K","8.5000","8.5000","16.5000","16.5000","7.2300","-1.2800","90","IPL1-115-01-L-D-K","TopLayer"
"X2-1","IPL1-115-01-YYY-D-K","91.0000","91.0000","25.0000","25.0000","108.7800","23.7300","180","IPL1-115-01-L-D-K","TopLayer"
"X1-1","IPL1-115-01-YYY-D-K","100.6000","100.6000","42.5000","42.5000","118.3800","41.2300","180","IPL1-115-01-L-D-K","TopLayer"
"Z7","RES_0603_1608","37.0000","37.0000","78.3000","78.3000","37.0000","78.9500","270","0R","BottomLayer"
"Z6","RES_0603_1608","35.1000","35.1000","70.6000","70.6000","35.1000","71.2500","270","0R","BottomLayer"
"R6","RES_0603_1608","35.5996","35.5996","57.5000","57.4999","35.5996","56.8499","90","4k3","TopLayer"
"R5","RES_0603_1608","39.0995","39.0995","62.5000","62.4999","39.0995","61.8499","90","470R","TopLayer"
"R4","RES_0603_1608","43.4000","43.4000","56.3000","56.3000","43.4000","55.6500","90","1k","TopLayer"
"R3","RES_0603_1608","41.7995","41.7995","56.3000","56.3000","41.7995","55.6500","90","1k","TopLayer"
"R2","RES_0603_1608","33.5996","33.5996","58.9000","58.9000","33.5996","58.2500","90","20k","TopLayer"
"R1","RES_0603_1608","31.4996","31.4996","58.9000","58.8999","31.4996","58.2499","90","4k3","TopLayer"
"R7","RES_1206_3216","128.9000","128.9000","85.1000","85.1000","127.5000","85.1000","0","1M","TopLayer"
"J8","RJ45-TH_RJHSE-3381","54.4000","54.4000","84.4000","83.0650","57.9700","83.5750","0","RJHSE-3381","TopLayer"
"J7","RJ45-TH_RJHSE-3381","51.9000","51.9000","65.6000","64.2650","55.4700","64.7750","0","RJHSE-3381","TopLayer"
"J6","RJ45-TH_RJHSE-3381","75.2000","75.2000","84.4000","83.0650","78.7700","83.5750","0","RJHSE-3381","TopLayer"
"J5","RJ45-TH_RJHSE-3381","72.7000","72.7000","65.6000","64.2650","76.2700","64.7750","0","RJHSE-3381","TopLayer"
"J4","RJ45-TH_RJHSE-3381","96.0000","96.0000","86.4000","85.0650","99.5700","85.5750","0","RJHSE-3381","TopLayer"
"J3","RJ45-TH_RJHSE-3381","93.5050","93.5050","65.6000","64.2650","97.0750","64.7750","0","RJHSE-3381","TopLayer"
"J1","RJ45-TH_RJHSE-3381","114.3000","114.3000","65.6000","64.2650","117.8700","64.7750","0","RJHSE-3381","TopLayer"
"J2","RJ45-TH_RJHSE-3381","116.8000","116.8000","86.4000","85.0650","120.3700","85.5750","0","RJHSE-3381","TopLayer"
"X3-2","SAMTEC_IPL1-120-01-X-D-K","8.5000","8.5000","66.4000","66.4000","7.2300","42.2700","90","IPL1-120-01-L-D-K","TopLayer"
"X2-2","SAMTEC_IPL1-120-01-X-D-K","84.6500","84.6500","11.5300","11.5300","108.7800","10.2600","180","IPL1-120-01-L-D-K","TopLayer"
"X1-2","SAMTEC_IPL1-120-01-X-D-K","50.7000","50.7000","42.5000","42.5000","74.8300","41.2300","180","IPL1-120-01-L-D-K","TopLayer"
"Q1","SOT-23-3_ONSC","38.2995","38.2995","55.8000","55.8000","37.2995","56.7500","0","SBC846BLT3G","TopLayer"
"B2","SOT23-5_L","37.4500","37.4500","73.7000","73.7000","38.4000","72.5000","90","1.8 V","BottomLayer"
"X1","TSW-102-XX-XXX-S","41.7000","41.7000","83.3000","83.3000","41.7000","84.5700","270","TSW-102-07-L-S","TopLayer"
"D4","WL-SMCW_0603","39.0995","39.0995","59.3000","59.3000","39.0995","58.5000","90","150060YS75000","TopLayer"
"D3","WL-SMCW_0603","42.6000","42.6000","53.1000","53.1000","42.6000","52.3000","90","FC-DA1608HOK-600H","TopLayer"
"D2","WL-SMCW_0603","33.5996","33.5996","55.7000","55.7000","33.5996","54.9000","90","NCD0603W1","TopLayer"
"D1","WL-SMCW_0603","31.4996","31.4996","55.7000","55.7000","31.4996","54.9000","90","150060BS84000","TopLayer"
